Hybridization REF,Cluster_0_mean,Cluster_1_mean,abs_diff
THSD4,-1.4273770740037837,0.36443669974564685,1.7918137737494306
PPP1R14C,1.4053813778844328,-0.3588207773321956,1.7642021552166285
XBP1,-1.3741582600586901,0.3508489174617933,1.7250071775204834
FZD9,1.3720127105516748,-0.35030111758766186,1.7223138281393366
B3GNT5,1.3680254688618816,-0.34928309843282085,1.7173085672947024
RHCG,1.308519590202555,-0.3340901081368226,1.6426096983393776
UGT8,1.2992381157664188,-0.33172036998291543,1.6309584857493342
NUDT12,-1.2756662337011144,0.32570201711517816,1.6013682508162925
VGLL1,1.2704686443666662,-0.3243749730297869,1.594843617396453
YEATS2,1.2579732491853022,-0.32118465936646007,1.5791579085517622
PRKY,1.2564911561829224,-0.32080625264244833,1.5772974088253706
BBS4,-1.2526430950827685,0.31982376895730263,1.5724668640400712
MAN2B2,-1.2515704147638849,0.31954989313120435,1.5711203078950893
IL12RB2,1.2326365497495253,-0.3147157148296661,1.5473522645791915
CMBL,-1.2289535015779052,0.3137753621049971,1.5427288636829024
RNF103,-1.226953894290126,0.3132648240740752,1.540218718364201
ABTB2,1.2248488118057623,-0.31272735620572634,1.5375761680114888
KRT16,1.2236830911539693,-0.31242972540101344,1.5361128165549829
ZNF695,1.2184860755445777,-0.31110282779861587,1.5295889033431935
GFRA1,-1.206437807772659,0.3080266743249342,1.5144644820975932
